









Frequency of observations in the selected location(s).:
Number of taxa: 	604

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Canada Goose (<em class="sci">Branta canadensis</em>)	0.3197026	0.3115942	0.2973058	0.324583	0.316688	0.3046307	0.314276	0.3545288	0.3708399	0.3929197	0.3838825	0.3681859	0.4111242	0.427437	0.4130435	0.4016742	0.3693294	0.3045385	0.3218362	0.29729	0.3142323	0.2826603	0.2552222	0.2508339	0.2365822	0.2877382	0.2935323	0.2861035	0.2593014	0.2307437	0.2770642	0.2521756	0.2624465	0.2468438	0.2538402	0.2782395	0.2621166	0.3018507	0.3269457	0.3473041	0.3171149	0.3170807	0.3429984	0.333043	0.3655671	0.3667622	0.3081047	0.3165054	
Swan x Canada Goose (hybrid) (<em class="sci">Anser cygnoides x Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.114E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted x Canada Goose (hybrid) (<em class="sci">Anser albifrons x Branta canadensis</em>)	0.0	0.0	0.0	0.0	4.268E-4	3.827E-4	3.383E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag x Canada Goose (hybrid) (<em class="sci">Anser anser x Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.12E-5	0.0	1.112E-4	0.0	0.0	0.0	2.904E-4	4.519E-4	0.0	0.0	0.0	
Domestic goose sp. x Canada Goose (hybrid) (<em class="sci">Anser sp. (Domestic type) x Branta canadensis</em>)	1.69E-4	0.0	0.0	0.0	0.0	3.827E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32E-4	0.0	1.892E-4	2.253E-4	0.0	0.0	9.44E-5	0.0	0.0	8.4E-5	1.112E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling/Canada Goose (<em class="sci">Branta hutchinsii/canadensis</em>)	0.0011828	2.899E-4	6.266E-4	8.203E-4	8.536E-4	3.827E-4	3.383E-4	0.0	3.962E-4	0.001402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.44E-5	9.47E-5	0.0	1.681E-4	1.112E-4	2.445E-4	6.211E-4	3.295E-4	8.711E-4	0.0018075	9.551E-4	9.461E-4	0.0015	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.1586685	0.1585507	0.1472431	0.1424665	0.1446863	0.1331803	0.1383627	0.1701738	0.2064184	0.23449	0.2167527	0.2071046	0.216598	0.2133078	0.1947464	0.1780647	0.1732945	0.1658993	0.1934795	0.1953314	0.1968234	0.1733967	0.1678694	0.1547698	0.1416917	0.1499756	0.1537766	0.1589464	0.1636295	0.1557105	0.1626911	0.1721529	0.2505069	0.2715282	0.2951125	0.2931621	0.2975199	0.2897256	0.2862666	0.2792663	0.2376528	0.2447205	0.2138386	0.21777	0.1879801	0.1728749	0.1173132	0.1541717	
Black Swan (<em class="sci">Cygnus atratus</em>)	0.0020277	2.899E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002656	0.0061162	0.0039728	0.0020275	0.0024496	0.0018619	0.0022667	0.0014199	0.0030996	0.0021852	0.0013341	0.0017115	0.0018634	0.0023064	0.0026132	0.0045188	9.551E-4	9.461E-4	0.003023	
Trumpeter Swan (<em class="sci">Cygnus buccinator</em>)	0.0074349	0.0043478	0.002193	0.0082034	0.0106701	0.0045924	3.383E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.070125	0.073913	0.0604637	0.0620727	0.0507896	0.0386529	0.0439783	0.0466606	0.0384311	0.0480196	0.0301707	0.0096068	0.0108888	0.0062979	9.058E-4	2.838E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027793	0.0303178	0.086646	0.093575	0.1158537	0.0998644	0.0873926	0.0491958	0.0852479	
