









Frequency of observations in the selected location(s).:
Number of taxa: 	929

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Graylag Goose (<em class="sci">Anser anser</em>)	5.588E-4	6.219E-4	0.0010011	6.819E-4	5.851E-4	4.088E-4	4.085E-4	8.386E-4	5.64E-4	5.788E-4	4.332E-4	4.538E-4	5.445E-4	4.503E-4	5.76E-4	9.673E-4	0.0014775	0.0012284	7.563E-4	4.183E-4	1.941E-4	1.56E-4	3.029E-4	2.169E-4	3.594E-4	2.708E-4	2.133E-4	5.063E-4	3.354E-4	3.393E-4	3.99E-4	4.063E-4	5.925E-4	5.944E-4	4.38E-4	4.295E-4	4.854E-4	4.829E-4	5.47E-4	5.991E-4	6.133E-4	5.375E-4	3.501E-4	3.37E-4	6.019E-4	3.716E-4	5.054E-4	4.948E-4	
Swan Goose (<em class="sci">Anser cygnoides</em>)	1.86E-5	8.88E-5	1.126E-4	3.05E-5	4.39E-5	8.84E-5	9.08E-5	3.87E-5	3.76E-5	3.34E-5	5.55E-5	3.78E-5	7.64E-5	2.76E-5	1.92E-5	2.06E-5	7.0E-6	1.34E-5	1.54E-5	1.44E-5	0.0	2.6E-5	1.38E-5	2.41E-5	5.99E-5	5.08E-5	1.78E-5	1.27E-5	3.53E-5	7.14E-5	0.0015	5.64E-5	2.89E-5	1.337E-4	1.46E-5	2.45E-5	2.94E-5	1.38E-5	4.56E-5	4.52E-5	1.57E-5	4.89E-5	7.0E-5	1.35E-5	1.88E-5	5.57E-5	4.74E-5	2.25E-5	
Graylag x Swan Goose (hybrid) (<em class="sci">Anser anser x cygnoides</em>)	0.0	3.81E-5	1.25E-5	1.02E-5	4.39E-5	1.1E-5	3.03E-5	3.87E-5	0.0	1.11E-5	2.22E-5	0.0	2.87E-5	0.0	0.0	6.9E-6	7.0E-6	2.0E-5	2.32E-5	0.0	0.0	0.0	0.0	0.0	1.5E-5	0.0	0.0	1.27E-5	0.0	0.0	0.0	0.0	1.45E-5	0.0015	0.0	0.0	0.0	2.76E-5	0.0	0.0	0.0	1.63E-5	0.0	0.0	0.0	0.0	1.58E-5	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0031665	0.0038331	0.0045802	0.0034097	0.0030425	0.0014363	0.0018913	0.0022449	0.003196	0.0036286	0.0027659	8.623E-4	2.579E-4	1.654E-4	1.152E-4	4.12E-5	9.1E-5	6.7E-6	0.0015	6.49E-5	0.0	0.0	0.0015	0.0	0.0	1.69E-5	0.0	1.27E-5	0.0	1.79E-5	1.73E-5	6.77E-5	5.78E-5	4.46E-5	4.38E-5	8.59E-5	4.707E-4	8.83E-4	0.0013826	0.0017861	0.0016196	0.0022966	0.0031336	0.0039224	0.00427	0.0048497	0.0026847	0.0029913	
Lesser White-fronted Goose (<em class="sci">Anser erythropus</em>)	0.0	0.0	1.25E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Taiga Bean-Goose (<em class="sci">Anser fabalis</em>)	9.3E-6	0.0025638	0.00219	0.001028	5.705E-4	7.73E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12E-5	
Tundra Bean-Goose (<em class="sci">Anser serrirostris</em>)	4.657E-4	5.08E-5	5.01E-5	1.02E-5	0.0	0.0	0.0	0.0	0.0	5.343E-4	8.89E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013366	0.0010424	3.326E-4	1.348E-4	2.822E-4	9.291E-4	1.737E-4	2.811E-4	
Taiga/Tundra Bean-Goose (<em class="sci">Anser fabalis/serrirostris</em>)	0.0	1.27E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14E-5	0.0	0.0	0.0	0.0	1.86E-5	0.0	0.0	
Pink-footed Goose (<em class="sci">Anser brachyrhynchus</em>)	0.0012107	0.0015231	0.0010387	8.244E-4	7.899E-4	5.524E-4	3.556E-4	5.935E-4	6.643E-4	4.007E-4	4.443E-4	9.08E-5	0.0	4.6E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.68E-5	0.0	0.0	0.0	5.2E-4	9.12E-4	4.235E-4	9.979E-4	9.57E-4	0.0014484	9.29E-5	0.0010739	0.0012033	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0010524	8.758E-4	0.0011513	0.0010483	0.0015798	8.728E-4	8.625E-4	7.999E-4	6.893E-4	8.459E-4	6.887E-4	8.169E-4	7.738E-4	7.996E-4	5.76E-4	0.0012692	0.0018276	0.0015422	0.0010032	5.842E-4	4.003E-4	4.81E-4	4.681E-4	5.542E-4	4.792E-4	6.263E-4	4.266E-4	6.455E-4	8.651E-4	6.429E-4	0.0010234	8.803E-4	9.105E-4	6.835E-4	7.592E-4	7.485E-4	9.414E-4	9.244E-4	8.66E-4	7.913E-4	9.749E-4	0.0010587	9.629E-4	0.0010244	0.0011851	9.105E-4	8.686E-4	7.984E-4	
